item,swapped,type,name1,name2,preamble
1,False,coord,Erika,Cameron,The teacher met the Illinois governor at a Greek restaurant and finds humor in the worst situations.
1,True,coord,Erika,Cameron,The teacher finds humor in the worst situations and met the Illinois governor at a Greek restaurant.
2,False,coord,Adrian,Autumn,The reporter opened a new bank account today and volunteers regularly at a local church.
2,True,coord,Adrian,Autumn,The reporter volunteers regularly at a local church and opened a new bank account today.
3,False,coord,Martin,Haley,The painter used to play badminton and volunteers regularly at a local church.
3,True,coord,Martin,Haley,The painter volunteers regularly at a local church and used to play badminton.
4,False,coord,Avery,Taylor,The journalist recently adopted a rescue dog and has two Bengal cats.
4,True,coord,Avery,Taylor,The journalist has two Bengal cats and recently adopted a rescue dog.
5,False,coord,Alexander,Anthony,The professor missed a train this morning and drinks two bottles of wine every day.
5,True,coord,Alexander,Anthony,The professor drinks two bottles of wine every day and missed a train this morning.
6,False,coord,Gage,Lillian,The plumber used to dream to become a translator and usually drives three hours a day.
6,True,coord,Gage,Lillian,The plumber usually drives three hours a day and used to dream to become a translator.
7,False,coord,Sebastian,Francisco,The reporter committed a felony and has a neat handwriting.
7,True,coord,Sebastian,Francisco,The reporter has a neat handwriting and committed a felony.
8,False,coord,Abigail,Alondra,The pharmacist walked toward the stray dog and has lots of Korean friends.
8,True,coord,Abigail,Alondra,The pharmacist has lots of Korean friends and walked toward the stray dog.
9,False,coord,Owen,John,The sculptor had a bad dream and has a pianist friend.
9,True,coord,Owen,John,The sculptor has a pianist friend and had a bad dream.
10,False,coord,Cesar,Christina,The nurse met the Illinois governor at a Greek restaurant and looks confident.
10,True,coord,Cesar,Christina,The nurse looks confident and met the Illinois governor at a Greek restaurant.
11,False,coord,Christina,Roberto,The firefighter painted the house on Thanksgiving and has been keeping a diary for 15 years.
11,True,coord,Christina,Roberto,The firefighter has been keeping a diary for 15 years and painted the house on Thanksgiving.
12,False,coord,Veronica,Harrison,The researcher performed a piece by Mozart and has undergone chemotherapy.
12,True,coord,Veronica,Harrison,The researcher has undergone chemotherapy and performed a piece by Mozart.
13,False,coord,Isabel,Sebastian,The violinist bought an ice cream cake for dessert and has lost a child.
13,True,coord,Isabel,Sebastian,The violinist has lost a child and bought an ice cream cake for dessert.
14,False,coord,Jorge,Grace,The runner walked toward the stray dog and has been keeping a diary for 15 years.
14,True,coord,Jorge,Grace,The runner has been keeping a diary for 15 years and walked toward the stray dog.
15,False,coord,Laura,Caleb,The caterer walked toward the stray dog and has been dreaming of buying a private jet.
15,True,coord,Laura,Caleb,The caterer has been dreaming of buying a private jet and walked toward the stray dog.
16,False,coord,Meghan,Luke,The nun used to get high grades in high school and has worked in the industry for more than 10 years.
16,True,coord,Meghan,Luke,The nun has worked in the industry for more than 10 years and used to get high grades in high school.
17,False,coord,Madelyn,Haley,The climber bought an ice cream cake for dessert and has been participating in marathons since last year.
17,True,coord,Madelyn,Haley,The climber has been participating in marathons since last year and bought an ice cream cake for dessert.
18,False,coord,Camryn,Dominic,The reporter seemed very eager to return home and has just turned 40.
18,True,coord,Camryn,Dominic,The reporter has just turned 40 and seemed very eager to return home.
19,False,coord,Ariana,Raymond,The industrialist used to sing in a choir on the weekends and has collected about 100 movie posters so far.
19,True,coord,Ariana,Raymond,The industrialist has collected about 100 movie posters so far and used to sing in a choir on the weekends.
20,False,coord,Alondra,Tiffany,The athlete went to the post office and has been checking the clock for five hours.
20,True,coord,Alondra,Tiffany,The athlete has been checking the clock for five hours and went to the post office.
21,False,coord,Jonah,Aaron,The analyst forgot to do the laundry and is a U.S. immigrant from Vietnam.
21,True,coord,Jonah,Aaron,The analyst is a U.S. immigrant from Vietnam and forgot to do the laundry.
22,False,coord,Makayla,Victor,The industrialist opened a new bank account today and is wearing a wedding ring.
22,True,coord,Makayla,Victor,The industrialist is wearing a wedding ring and opened a new bank account today.
23,False,coord,Sean,Nathan,The publicist met the Illinois governor at a Greek restaurant and is extremely fickle and demanding.
23,True,coord,Sean,Nathan,The publicist is extremely fickle and demanding and met the Illinois governor at a Greek restaurant.
24,False,coord,Trenton,Nicholas,The soccer player hired a teenager to mow the lawn and is sitting on the blue couch.
24,True,coord,Trenton,Nicholas,The soccer player is sitting on the blue couch and hired a teenager to mow the lawn.
25,False,coord,Zachary,Alondra,The customer suggested a good cleaning company to Ashley and is reliably clam under pressure.
25,True,coord,Zachary,Alondra,The customer is reliably clam under pressure and suggested a good cleaning company to Ashley.
26,False,coord,Shawn,Rebecca,The detective opened a new bank account today and is discreet and good at thinking fast.
26,True,coord,Shawn,Rebecca,The detective is discreet and good at thinking fast and opened a new bank account today.
27,False,coord,Alejandro,Henry,The choreographer hired a teenager to mow the lawn and is extremely fickle and demanding.
27,True,coord,Alejandro,Henry,The choreographer is extremely fickle and demanding and hired a teenager to mow the lawn.
28,False,coord,Joseph,Andres,The scientist got an autograph from a famous book writer and is about to fall asleep.
28,True,coord,Joseph,Andres,The scientist is about to fall asleep and got an autograph from a famous book writer.
29,False,coord,Kathryn,Benjamin,The psychologist used to get high grades in high school and is eccentric and difficult to control.
29,True,coord,Kathryn,Benjamin,The psychologist is eccentric and difficult to control and used to get high grades in high school.
30,False,coord,Allison,Lindsay,The programmer used to drink three cups of coffee every day and is about to fall asleep.
30,True,coord,Allison,Lindsay,The programmer is about to fall asleep and used to drink three cups of coffee every day.
31,False,coord,Lucas,Arianna,The swimmer forgot to lock the door and was on a diet.
31,True,coord,Lucas,Arianna,The swimmer was on a diet and forgot to lock the door.
32,False,coord,Cole,Shelby,The optician had a flat tire and was talking to the tall nurse.
32,True,coord,Cole,Shelby,The optician was talking to the tall nurse and had a flat tire.
33,False,coord,Gregory,Elizabeth,The counselor hired a teenager to mow the lawn and was nervous about the upcoming debate.
33,True,coord,Gregory,Elizabeth,The counselor was nervous about the upcoming debate and hired a teenager to mow the lawn.
34,False,coord,Maya,Jordyn,The soccer player used to play for the youth soccer team in 2009 and was sitting on a rocking chair.
34,True,coord,Maya,Jordyn,The soccer player was sitting on a rocking chair and used to play for the youth soccer team in 2009.
35,False,coord,Carly,Heather,The volunteer used to dream to become a translator and was mentioned in the newspaper.
35,True,coord,Carly,Heather,The volunteer was mentioned in the newspaper and used to dream to become a translator.
36,False,coord,Gavin,Jeffrey,The teacher missed a train this morning and was pulled over for drunk driving.
36,True,coord,Gavin,Jeffrey,The teacher was pulled over for drunk driving and missed a train this morning.
37,False,coord,Ricardo,Peter,The inspector went to Target to buy some carrots and was isolated from society for a long time.
37,True,coord,Ricardo,Peter,The inspector was isolated from society for a long time and went to Target to buy some carrots.
38,False,coord,Samuel,Jasmin,The motorcyclist used to play for the youth soccer team in 2009 and was famous in Italy.
38,True,coord,Samuel,Jasmin,The motorcyclist was famous in Italy and used to play for the youth soccer team in 2009.
39,False,coord,Travis,Michaela,The animator felt so sleepy all day and was happy to be outside in the sunny weather.
39,True,coord,Travis,Michaela,The animator was happy to be outside in the sunny weather and felt so sleepy all day.
40,False,coord,Evan,Luis,The anthropologist went out for a date and was solving a crossword puzzle.
40,True,coord,Evan,Luis,The anthropologist was solving a crossword puzzle and went out for a date.
41,False,coord,Andres,Shawn,The attendant won the annual cake-baking contest and would call the landlord every night.
41,True,coord,Andres,Shawn,The attendant would call the landlord every night and won the annual cake-baking contest.
42,False,coord,Adriana,Mitchell,The columnist had a nightmare for the first time in years and would read books at a park nearby.
42,True,coord,Adriana,Mitchell,The columnist would read books at a park nearby and had a nightmare for the first time in years.
43,False,coord,Lily,Heather,The dentist met the Illinois governor at a Greek restaurant and would go to the park for a walk in the evenings.
43,True,coord,Lily,Heather,The dentist would go to the park for a walk in the evenings and met the Illinois governor at a Greek restaurant.
44,False,coord,Arianna,Katie,The nanny got engaged this month and would eat bananas at night.
44,True,coord,Arianna,Katie,The nanny would eat bananas at night and got engaged this month.
45,False,coord,Adrian,Margaret,The barista biked to downtown yesterday and would wake up early on Christmas Eve.
45,True,coord,Adrian,Margaret,The barista would wake up early on Christmas Eve and biked to downtown yesterday.
46,False,coord,Mckenna,Rachel,The librarian went to the post office and would sleep on the couch.
46,True,coord,Mckenna,Rachel,The librarian would sleep on the couch and went to the post office.
47,False,coord,Shawn,Andre,The counselor came back home late at night yesterday and would go out for a picnic on Sundays.
47,True,coord,Shawn,Andre,The counselor would go out for a picnic on Sundays and came back home late at night yesterday.
48,False,coord,Jasmine,Avery,The animator had a nightmare for the first time in years and would make pasta for dinner.
48,True,coord,Jasmine,Avery,The animator would make pasta for dinner and had a nightmare for the first time in years.
49,False,coord,Nicholas,Skylar,The motorcyclist forgot to do the laundry and would wear glasses in the day time.
49,True,coord,Nicholas,Skylar,The motorcyclist would wear glasses in the day time and forgot to do the laundry.
50,False,coord,Garrett,Steven,The nanny seemed very eager to return home and would wear glasses in the day time.
50,True,coord,Garrett,Steven,The nanny would wear glasses in the day time and seemed very eager to return home.
51,False,coord,Marco,Elizabeth,The nurse has lots of interest in French cuisine and recently adopted a rescue dog.
51,True,coord,Marco,Elizabeth,The nurse recently adopted a rescue dog and has lots of interest in French cuisine.
52,False,coord,Omar,Isaac,The industrialist occasionally writes a blog about historical figures and had a good sleep.
52,True,coord,Omar,Isaac,The industrialist had a good sleep and occasionally writes a blog about historical figures.
53,False,coord,Mckenna,Katie,The receptionist always has fun stories to tell and decided to purchase a minivan.
53,True,coord,Mckenna,Katie,The receptionist decided to purchase a minivan and always has fun stories to tell.
54,False,coord,Isabel,Diana,The hairdresser usually trains all year for the national competition and felt so sleepy all day.
54,True,coord,Isabel,Diana,The hairdresser felt so sleepy all day and usually trains all year for the national competition.
55,False,coord,Sofia,Cody,The therapist wants to get married soon and took a flight from Newark to Los Angeles.
55,True,coord,Sofia,Cody,The therapist took a flight from Newark to Los Angeles and wants to get married soon.
56,False,coord,Hanna,Makenzie,The judge hates horror movies and prepared for the meal.
56,True,coord,Hanna,Makenzie,The judge prepared for the meal and hates horror movies.
57,False,coord,Adrian,Skylar,The soccer player has three sons and used to get high grades in high school.
57,True,coord,Adrian,Skylar,The soccer player used to get high grades in high school and has three sons.
58,False,coord,Mario,Jasmine,The diplomat plans to go apple picking tomorrow and worked out late at night.
58,True,coord,Mario,Jasmine,The diplomat worked out late at night and plans to go apple picking tomorrow.
59,False,coord,Cassandra,Bailey,The attendant frequently gives extreme opinions without backing them up and prepared for the meal.
59,True,coord,Cassandra,Bailey,The attendant prepared for the meal and frequently gives extreme opinions without backing them up.
60,False,coord,Dalton,Alexandra,The overseer reads eight books a month and hired a teenager to mow the lawn.
60,True,coord,Dalton,Alexandra,The overseer hired a teenager to mow the lawn and reads eight books a month.
61,False,coord,Maggie,Trinity,The barista occasionally writes a blog about historical figures and has been in town for 10 years.
61,True,coord,Maggie,Trinity,The barista has been in town for 10 years and occasionally writes a blog about historical figures.
62,False,coord,Hector,Shelby,The Marine wears a fancy watch and has been checking the clock for five hours.
62,True,coord,Hector,Shelby,The Marine has been checking the clock for five hours and wears a fancy watch.
63,False,coord,Jillian,Rebecca,The magician laughs very loudly and has been collecting fridge magnets for five years.
63,True,coord,Jillian,Rebecca,The magician has been collecting fridge magnets for five years and laughs very loudly.
64,False,coord,Melissa,Makenzie,The tenant plans to go apple picking tomorrow and has been earning money by making YouTube videos.
64,True,coord,Melissa,Makenzie,The tenant has been earning money by making YouTube videos and plans to go apple picking tomorrow.
65,False,coord,Juan,Hunter,The architect plans to go apple picking tomorrow and has lost a child.
65,True,coord,Juan,Hunter,The architect has lost a child and plans to go apple picking tomorrow.
66,False,coord,Parker,Chloe,The farmer rides a bike to the nearest park and has been working out for two hours.
66,True,coord,Parker,Chloe,The farmer has been working out for two hours and rides a bike to the nearest park.
67,False,coord,Evelyn,Jasmin,The chemist has lots of Korean friends and has been in town for 10 years.
67,True,coord,Evelyn,Jasmin,The chemist has been in town for 10 years and has lots of Korean friends.
68,False,coord,Chelsea,Xavier,The rapper occasionally writes a blog about historical figures and has been staying in Hawaii for two months.
68,True,coord,Chelsea,Xavier,The rapper has been staying in Hawaii for two months and occasionally writes a blog about historical figures.
69,False,coord,Camryn,Patrick,The teacher knows some card tricks and has been earning money by making YouTube videos.
69,True,coord,Camryn,Patrick,The teacher has been earning money by making YouTube videos and knows some card tricks.
70,False,coord,Andrea,Isabel,The nun rides a bike to the nearest park and has been in town for 10 years.
70,True,coord,Andrea,Isabel,The nun has been in town for 10 years and rides a bike to the nearest park.
71,False,coord,Amber,Kendra,The chemist likes bungee jumping and is wearing a wedding ring.
71,True,coord,Amber,Kendra,The chemist is wearing a wedding ring and likes bungee jumping.
72,False,coord,Ian,Marcus,The columnist has a good recipe for cooking chicken breast and is always trustworthy.
72,True,coord,Ian,Marcus,The columnist is always trustworthy and has a good recipe for cooking chicken breast.
73,False,coord,Henry,Shawn,The scientist loves reading Russian books and is not good at riding a bike.
73,True,coord,Henry,Shawn,The scientist is not good at riding a bike and loves reading Russian books.
74,False,coord,Carly,Diana,The driver enjoys extreme sports and is always trustworthy.
74,True,coord,Carly,Diana,The driver is always trustworthy and enjoys extreme sports.
75,False,coord,Nathaniel,Preston,The banker has a very slick hairstyle and is extremely fickle and demanding.
75,True,coord,Nathaniel,Preston,The banker is extremely fickle and demanding and has a very slick hairstyle.
76,False,coord,Dakota,Laura,The climber climbs trees for recreation and is never late.
76,True,coord,Dakota,Laura,The climber is never late and climbs trees for recreation.
77,False,coord,Benjamin,Danielle,The stewardess wears a fancy watch and is reliably clam under pressure.
77,True,coord,Benjamin,Danielle,The stewardess is reliably clam under pressure and wears a fancy watch.
78,False,coord,Ariana,Cassandra,The solider has a good recipe for cooking chicken breast and is wearing a wedding ring.
78,True,coord,Ariana,Cassandra,The solider is wearing a wedding ring and has a good recipe for cooking chicken breast.
79,False,coord,Jose,Jorge,The banker has a pianist friend and is an avid foodie.
79,True,coord,Jose,Jorge,The banker is an avid foodie and has a pianist friend.
80,False,coord,Garrett,Joseph,The senator finds humor in the worst situations and is not good at riding a bike.
80,True,coord,Garrett,Joseph,The senator is not good at riding a bike and finds humor in the worst situations.
81,False,coord,Alexa,Nathaniel,The author laughs very loudly and was nervous about the stressful situation.
81,True,coord,Alexa,Nathaniel,The author was nervous about the stressful situation and laughs very loudly.
82,False,coord,Angelica,Aaron,The judge finds humor in the worst situations and was nervous about the upcoming debate.
82,True,coord,Angelica,Aaron,The judge was nervous about the upcoming debate and finds humor in the worst situations.
83,False,coord,Bailey,Gabriela,The cashier hates snow and was listening to classical music.
83,True,coord,Bailey,Gabriela,The cashier was listening to classical music and hates snow.
84,False,coord,Carlos,Kelly,The comedian cares a lot about the environment and was born in 1992.
84,True,coord,Carlos,Kelly,The comedian was born in 1992 and cares a lot about the environment.
85,False,coord,Carlos,Amanda,The surgeon has a pianist friend and was pulled over for drunk driving.
85,True,coord,Carlos,Amanda,The surgeon was pulled over for drunk driving and has a pianist friend.
86,False,coord,Dominic,Alexandria,The housekeeper has lots of friends and was being chased by a few people.
86,True,coord,Dominic,Alexandria,The housekeeper was being chased by a few people and has lots of friends.
87,False,coord,Nicole,Mackenzie,The comedian has red hair and was mentioned in the newspaper.
87,True,coord,Nicole,Mackenzie,The comedian was mentioned in the newspaper and has red hair.
88,False,coord,Katie,Alexandria,The florist enjoys baking apple pies and was born in 1992.
88,True,coord,Katie,Alexandria,The florist was born in 1992 and enjoys baking apple pies.
89,False,coord,Melissa,Marco,The librarian takes a vitamin everyday and was being chased by a few people.
89,True,coord,Melissa,Marco,The librarian was being chased by a few people and takes a vitamin everyday.
90,False,coord,Wyatt,Richard,The waitress wears a fancy watch and was upset about the cleanliness of City Hall.
90,True,coord,Wyatt,Richard,The waitress was upset about the cleanliness of City Hall and wears a fancy watch.
91,False,coord,Charles,Christina,The soccer player occasionally writes a blog about historical figures and would go to the movies every week.
91,True,coord,Charles,Christina,The soccer player would go to the movies every week and occasionally writes a blog about historical figures.
92,False,coord,Alejandro,Roberto,The volunteer usually drives three hours a day and would have oatmeal for breakfast.
92,True,coord,Alejandro,Roberto,The volunteer would have oatmeal for breakfast and usually drives three hours a day.
93,False,coord,Jaden,Harrison,The therapist has two sisters and would wear a yellow hat on sunny days.
93,True,coord,Jaden,Harrison,The therapist would wear a yellow hat on sunny days and has two sisters.
94,False,coord,Ethan,Gregory,The actress has a neat handwriting and would wear a yellow hat on sunny days.
94,True,coord,Ethan,Gregory,The actress would wear a yellow hat on sunny days and has a neat handwriting.
95,False,coord,Travis,Bethany,The colleague usually drives three hours a day and would stay out late on the weekends.
95,True,coord,Travis,Bethany,The colleague would stay out late on the weekends and usually drives three hours a day.
96,False,coord,Nicolas,Blake,The researcher loves reading Russian books and would eat bananas at night.
96,True,coord,Nicolas,Blake,The researcher would eat bananas at night and loves reading Russian books.
97,False,coord,Courtney,Lindsey,The musician never forgets to greet people with with a big smile and would buy lottery tickets on the weekends.
97,True,coord,Courtney,Lindsey,The musician would buy lottery tickets on the weekends and never forgets to greet people with with a big smile.
98,False,coord,Steven,Max,The overseer hates horror movies and would swim in the Lake on Monday mornings.
98,True,coord,Steven,Max,The overseer would swim in the Lake on Monday mornings and hates horror movies.
99,False,coord,Erik,Cole,The reporter finds humor in the worst situations and would make pasta for dinner.
99,True,coord,Erik,Cole,The reporter would make pasta for dinner and finds humor in the worst situations.
100,False,coord,Jaden,Adam,The make-up artist occasionally writes a blog about historical figures and would drive to the nearest library when the weather is bad.
100,True,coord,Jaden,Adam,The make-up artist would drive to the nearest library when the weather is bad and occasionally writes a blog about historical figures.
101,False,coord,Logan,Mariah,The technician has been keeping a diary for 15 years and brought a new plant home.
101,True,coord,Logan,Mariah,The technician brought a new plant home and has been keeping a diary for 15 years.
102,False,coord,Emmanuel,Alan,The hairdresser has lost a child and used to go to school in Japan.
102,True,coord,Emmanuel,Alan,The hairdresser used to go to school in Japan and has lost a child.
103,False,coord,Naomi,Maya,The director has been neighbors with the mayor and attended a free yoga lesson.
103,True,coord,Naomi,Maya,The director attended a free yoga lesson and has been neighbors with the mayor.
104,False,coord,Alexandra,Cesar,The diver has just turned 40 and had a car accident last night.
104,True,coord,Alexandra,Cesar,The diver had a car accident last night and has just turned 40.
105,False,coord,Brenda,Nathaniel,The soccer player has been a long time fan of Ariana Grande and used to visit the gourmet regularly.
105,True,coord,Brenda,Nathaniel,The soccer player used to visit the gourmet regularly and has been a long time fan of Ariana Grande.
106,False,coord,Taylor,Alex,The anthropologist has been staying in Hawaii for two months and went out for a date.
106,True,coord,Taylor,Alex,The anthropologist went out for a date and has been staying in Hawaii for two months.
107,False,coord,Elizabeth,Conner,The swimmer has been working out for two hours and forgot to do the laundry.
107,True,coord,Elizabeth,Conner,The swimmer forgot to do the laundry and has been working out for two hours.
108,False,coord,Crystal,Arianna,The accountant has been chosen to audition for the All Stars game and forgot to lock the door.
108,True,coord,Crystal,Arianna,The accountant forgot to lock the door and has been chosen to audition for the All Stars game.
109,False,coord,Kaylee,Andres,The Marine has undergone chemotherapy and used to play badminton.
109,True,coord,Kaylee,Andres,The Marine used to play badminton and has undergone chemotherapy.
110,False,coord,Natalie,Carly,The model has been dreaming of buying a private jet and went to the post office.
110,True,coord,Natalie,Carly,The model went to the post office and has been dreaming of buying a private jet.
111,False,coord,Jayden,Naomi,The technician has been chosen to audition for the All Stars game and volunteers regularly at a local church.
111,True,coord,Jayden,Naomi,The technician volunteers regularly at a local church and has been chosen to audition for the All Stars game.
112,False,coord,Luis,Alec,The shop owner has worked in the industry for more than 10 years and always greets kindly.
112,True,coord,Luis,Alec,The shop owner always greets kindly and has worked in the industry for more than 10 years.
113,False,coord,Colin,Edwin,The firefighter has been earning money by making YouTube videos and has strong opinions about all kinds of things.
113,True,coord,Colin,Edwin,The firefighter has strong opinions about all kinds of things and has been earning money by making YouTube videos.
114,False,coord,Zoe,Brady,The detective has been dreaming of buying a private jet and has a very slick hairstyle.
114,True,coord,Zoe,Brady,The detective has a very slick hairstyle and has been dreaming of buying a private jet.
115,False,coord,Morgan,Ashley,The soccer player has worked in the industry for more than 10 years and frequently gives extreme opinions without backing them up.
115,True,coord,Morgan,Ashley,The soccer player frequently gives extreme opinions without backing them up and has worked in the industry for more than 10 years.
116,False,coord,Alejandro,Joseph,The musician has been working out for two hours and usually drives three hours a day.
116,True,coord,Alejandro,Joseph,The musician usually drives three hours a day and has been working out for two hours.
117,False,coord,Marissa,Jillian,The receptionist has been a fan of Rihanna since her debut and takes a vitamin everyday.
117,True,coord,Marissa,Jillian,The receptionist takes a vitamin everyday and has been a fan of Rihanna since her debut.
118,False,coord,Isabelle,Mckenna,The customer has been neighbors with the mayor and rides a bike to the nearest park.
118,True,coord,Isabelle,Mckenna,The customer rides a bike to the nearest park and has been neighbors with the mayor.
119,False,coord,Tristan,Alicia,The receptionist has been earning money by making YouTube videos and has lots of friends.
119,True,coord,Tristan,Alicia,The receptionist has lots of friends and has been earning money by making YouTube videos.
120,False,coord,Molly,Cameron,The nun has worked in the industry for more than 10 years and has two sisters.
120,True,coord,Molly,Cameron,The nun has two sisters and has worked in the industry for more than 10 years.
121,False,coord,Cassidy,Sierra,The optician has been working out for two hours and is reading a newly released sci-fi book.
121,True,coord,Cassidy,Sierra,The optician is reading a newly released sci-fi book and has been working out for two hours.
122,False,coord,Kenneth,Steven,The volunteer has been neighbors with the mayor and is a U.S. immigrant from Vietnam.
122,True,coord,Kenneth,Steven,The volunteer is a U.S. immigrant from Vietnam and has been neighbors with the mayor.
123,False,coord,Heather,Jacqueline,The attendant has undergone chemotherapy and is learning Spanish.
123,True,coord,Heather,Jacqueline,The attendant is learning Spanish and has undergone chemotherapy.
124,False,coord,Miguel,Maria,The scientist has been staying in Hawaii for two months and is reading a newly released sci-fi book.
124,True,coord,Miguel,Maria,The scientist is reading a newly released sci-fi book and has been staying in Hawaii for two months.
125,False,coord,Madison,Edward,The bartender has collected about 100 movie posters so far and is good at communication.
125,True,coord,Madison,Edward,The bartender is good at communication and has collected about 100 movie posters so far.
126,False,coord,Meghan,Jasmin,The chef has been staying in Hawaii for two months and is always on time.
126,True,coord,Meghan,Jasmin,The chef is always on time and has been staying in Hawaii for two months.
127,False,coord,Dakota,Jasmine,The publicist has been neighbors with the mayor and is an avid foodie.
127,True,coord,Dakota,Jasmine,The publicist is an avid foodie and has been neighbors with the mayor.
128,False,coord,Dalton,Jonathan,The caterer has been checking the clock for five hours and is subscribed to seventy different newsletters.
128,True,coord,Dalton,Jonathan,The caterer is subscribed to seventy different newsletters and has been checking the clock for five hours.
129,False,coord,Cody,Carly,The technician has been in town for 10 years and is reliably clam under pressure.
129,True,coord,Cody,Carly,The technician is reliably clam under pressure and has been in town for 10 years.
130,False,coord,Preston,Laura,The producer has been around for a while and is standing next to the tree.
130,True,coord,Preston,Laura,The producer is standing next to the tree and has been around for a while.
131,False,coord,Martin,Avery,The technician has been dreaming of buying a private jet and was involved in a car accident the other day.
131,True,coord,Martin,Avery,The technician was involved in a car accident the other day and has been dreaming of buying a private jet.
132,False,coord,Alexander,Cole,The attendant has been around for a while and was born in Ecuador.
132,True,coord,Alexander,Cole,The attendant was born in Ecuador and has been around for a while.
133,False,coord,Kayla,Shelby,The violinist has been earning money by making YouTube videos and was listening to classical music.
133,True,coord,Kayla,Shelby,The violinist was listening to classical music and has been earning money by making YouTube videos.
134,False,coord,Daisy,Jasmine,The writer has been checking the clock for five hours and was famous in Italy.
134,True,coord,Daisy,Jasmine,The writer was famous in Italy and has been checking the clock for five hours.
135,False,coord,Samuel,Anna,The dancer has been checking the clock for five hours and was happy to be outside in the sunny weather.
135,True,coord,Samuel,Anna,The dancer was happy to be outside in the sunny weather and has been checking the clock for five hours.
136,False,coord,Megan,Marissa,The florist has been around for a while and was famous in Italy.
136,True,coord,Megan,Marissa,The florist was famous in Italy and has been around for a while.
137,False,coord,Leslie,Jennifer,The photographer has worked in the industry for more than 10 years and was pulled over for drunk driving.
137,True,coord,Leslie,Jennifer,The photographer was pulled over for drunk driving and has worked in the industry for more than 10 years.
138,False,coord,Kyle,Adrian,The bartender has lost a child and was scared about the loud noises coming from a nearby building.
138,True,coord,Kyle,Adrian,The bartender was scared about the loud noises coming from a nearby building and has lost a child.
139,False,coord,Charles,Kara,The comedian has lost a child and was surprised about the exciting news.
139,True,coord,Charles,Kara,The comedian was surprised about the exciting news and has lost a child.
140,False,coord,Desiree,Jack,The detective has been chosen to audition for the All Stars game and was angry.
140,True,coord,Desiree,Jack,The detective was angry and has been chosen to audition for the All Stars game.
141,False,coord,Camryn,Madison,The nanny has been keeping a diary for 15 years and would buy lottery tickets on the weekends.
141,True,coord,Camryn,Madison,The nanny would buy lottery tickets on the weekends and has been keeping a diary for 15 years.
142,False,coord,Hailey,Dominic,The linguist has lost a child and would go to the park for a walk in the evenings.
142,True,coord,Hailey,Dominic,The linguist would go to the park for a walk in the evenings and has lost a child.
143,False,coord,Timothy,Malik,The solider has been neighbors with the mayor and would drink coffee after lunch.
143,True,coord,Timothy,Malik,The solider would drink coffee after lunch and has been neighbors with the mayor.
144,False,coord,Jordan,Selena,The researcher has been collecting fridge magnets for five years and would have oatmeal for breakfast.
144,True,coord,Jordan,Selena,The researcher would have oatmeal for breakfast and has been collecting fridge magnets for five years.
145,False,coord,Bethany,Isabel,The journalist has been neighbors with the mayor and would drive to the nearest library when the weather is bad.
145,True,coord,Bethany,Isabel,The journalist would drive to the nearest library when the weather is bad and has been neighbors with the mayor.
146,False,coord,Abigail,Cameron,The counselor has been neighbors with the mayor and would sleep on the couch.
146,True,coord,Abigail,Cameron,The counselor would sleep on the couch and has been neighbors with the mayor.
147,False,coord,Connor,Elijah,The actor has collected about 100 movie posters so far and would drink coffee after lunch.
147,True,coord,Connor,Elijah,The actor would drink coffee after lunch and has collected about 100 movie posters so far.
148,False,coord,Antonio,Christina,The banker has collected about 100 movie posters so far and would always be late for meetings.
148,True,coord,Antonio,Christina,The banker would always be late for meetings and has collected about 100 movie posters so far.
149,False,coord,Landon,Brendan,The anthropologist has been a fan of Rihanna since her debut and would sleep on the couch.
149,True,coord,Landon,Brendan,The anthropologist would sleep on the couch and has been a fan of Rihanna since her debut.
